Job name: Vin Fini SO2 (219);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;SO2 Actif;SO2 L;SO2 T;IPT;TSat;IC;A420;A520;A620;Date;Description du lot;Degaz;Air;Heure;SR-5;SR+5;Sorbic;SucTot;Code;Remark;Type;SubType
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF SO2;Temoin;411;992.4;13.34;1.68;3.69;2.80;0.35;3.79;0.00;0.93;3.50;0.3;20;56;47;22;6.9;2.680;3.366;0.829;27/09/2025;;-0.08;-0.07;10:19:11;2.79;3.24;0.0;6.2;1;;NORMAL(MULTIINTAKE);VALUE
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Nettoyage effectué;;VALUE
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1608);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_B1-10;995;990.7;12.55;2.08;3.08;3.61;0.34;3.52;1.44;0.15;4.20;8;19;3.8;1.174;1.289;1.379;27/09/2025;10:32:07;-0.11;;-0.17;0.0;2.8;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1609);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_C2-3;1249;992.3;12.99;2.54;3.26;4.33;0.25;3.40;1.91;0.28;4.40;12;20;12.4;3.643;4.075;4.662;27/09/2025;10:32:38;-0.13;;-0.10;0.0;5.3;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1610);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_C2-8;1268;989.7;12.95;2.21;3.15;3.53;0.21;3.41;0.63;0.28;5.11;8;22;4.8;1.464;1.581;1.722;27/09/2025;10:33:10;-0.15;;-0.28;0.0;2.2;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1611);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_D1-8;1086;990.1;12.17;2.06;3.25;3.38;0.12;3.46;1.85;0.11;3.70;7;17;3.4;1.084;1.125;1.237;27/09/2025;10:33:42;-0.17;;-0.13;0.0;2.2;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1612);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_E2-5;1200;993.1;11.91;3.06;3.41;4.34;0.15;3.30;1.64;0.25;4.45;12;20;11.1;3.348;3.667;4.089;27/09/2025;10:34:13;-0.17;;-0.09;0.0;5.6;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1613);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_F2-5;1015;990.9;13.04;2.54;3.52;4.07;0.42;3.34;1.40;0.06;4.86;5;22;3.2;1.005;1.026;1.127;27/09/2025;10:34:45;-0.28;;-0.43;0.0;4.0;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1614);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_H1-6;1125;994.7;14.27;0.97;3.21;3.77;0.30;3.78;0.88;0.47;3.88;77;25;31.9;8.962;12.745;10.204;27/09/2025;10:35:17;-0.43;;-0.59;0.0;9.0;One or more parameter values are outside the defined limits. / Degaz is below the warning limit (-0.5). / ;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1615);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;D;TAV;GF-5;GF+5;AT;VA 111;pH;Malic;ALac;ATar;IPT;TSat;IC;A420;A520;A620;Date;Heure;Air;Description du lot;Degaz;Sorbic;SucTot;Remark;Type;SubType;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VF;25_09_27_Vsec_I1-3;1056;998.3;13.76;7.43;8.63;3.84;0.36;3.91;1.91;0.45;3.79;62;27;11.1;3.641;5.589;1.914;27/09/2025;10:35:48;-0.12;;-0.16;0.0;12.6;;NORMAL(MULTIINTAKE);VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Nettoyage effectué;;VALUE;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1616);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_B2-2;1117;1,052;4,93;131,67;3,05;3,53;0,21;2,88;-1,54;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1617);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_E2-6;1489;1,0376;8,09;100,53;3,02;3,61;0,33;1,64;-1,11;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1618);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_H1-5;1176;1,0446;5,96;112,27;2,88;3,56;0,19;2,69;-1,25;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1619);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_H1-9;1236;1,0545;5,2;134,24;3,08;3,54;0,22;2,42;-1,33;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1620);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_F1-3;1304;1,0458;5,28;110,27;3,57;3,54;0,15;3,15;-1,34;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1621);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;CO2;Density;TAV;SR;AT;pH;AV;AMal;ALact;Date;Remark;Type;SubType;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;25_09_27_FA_J2-5;1190;1,0313;10,44;85,57;3,68;3,79;0,28;1,08;-1,09;27/09/2025;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Nettoyage effectué;;VALUE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1622);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;Description du lot;SO2 L;SO2 T;Sucre;TAP;AT;pH;AMal;Tartaric;N_Ass;N_Amin;K;AV;IPT;Anth;N_NH3;AGluc;Glyc;D;Date;Heure;GluconicAcid;Glycerol;Volatile Acidity;Botrytis;PG DK;PA;AF;AL;Remark;Type;SubType;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moűts SO2;25_09_27_Av-IN_F2-6;;19;43;195.2;11.6;5.86;3.28;5.56;3.86;238.55;109.1;1113.95;0.04;11.3;-28.49;57.6;1.78;0.78;1.0803;27/09/2025;10:47:54;1.4;0.9;0.22;;;;;;No license for prediction model Grey Rot (A) Must, Grey Rot (B) Must, Acid Rot Must, Fermentative activity Must, Lactic Rot Must;NORMAL(MULTIINTAKE);VALUE;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nettoyage effectué;;VALUE;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job name: Normal - multi pompage (1623);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 27/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job type: NORMAL(MULTIINTAKE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;ID;Sucre;TAP;AT;pH;AMal;Tartaric;N_Ass;N_Amin;K;AV;IPT;Anth;N_NH3;AGluc;Glyc;D;Date;Heure;GluconicAcid;Glycerol;Volatile Acidity;Remark;Type;SubType;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moűts;25_09_27_Av-IN_I1-5;171.6;10.2;2.82;3.32;0.21;5.08;365.04;109.1;-371.84;0.23;7.1;73.15;-174.1;1.64;1.13;1.0754;45927;0,49275463;2.2;2.5;0.20;;NORMAL(MULTIINTAKE);VALUE;;;;;;;;;
